"row.names","cost","count","type"
"961",161.47,15,"OP"
"962",83.78,66,"OP"
"963",428.41,1519,"OP"
"964",68.31,4,"OP"
"965",224.39,168,"OP"
"966",167.94,869,"OP"
"967",154.18,1954,"OP"
"968",98.89,34,"OP"
"969",49.95,4,"OP"
"970",70.67,226,"OP"
"971",118.67,472,"OP"
"972",58.24,25,"OP"
"973",75.04,105882,"OP"
"974",142.54,22354,"OP"
"975",152.29,374,"OP"
"976",161.55,549,"OP"
"977",111.3,10583,"OP"
"978",95.11,100,"OP"
"979",206.65,131,"OP"
"980",160.9,3,"OP"
"981",123.9,2346,"OP"
"982",273.18,260,"OP"
"983",88.29,522,"OP"
